,initial_temp,min_temp,max_acc_solutions,instance 0 value,instance 0 num stocks,instance 1 value,instance 1 num stocks,instance 2 value,instance 2 num stocks,instance 3 value,instance 3 num stocks,instance 4 value,instance 4 num stocks,instance 5 value,instance 5 num stocks,instance 6 value,instance 6 num stocks,instance 7 value,instance 7 num stocks,instance 8 value,instance 8 num stocks,instance 9 value,instance 9 num stocks,instance 10 value,instance 10 num stocks,instance 11 value,instance 11 num stocks,instance 12 value,instance 12 num stocks,instance 13 value,instance 13 num stocks,instance 14 value,instance 14 num stocks,instance 15 value,instance 15 num stocks,instance 16 value,instance 16 num stocks,instance 17 value,instance 17 num stocks,instance 18 value,instance 18 num stocks,instance 19 value,instance 19 num stocks,instance 20 value,instance 20 num stocks
82,500,5,5,615.0,16.0,214.0,19.0,4899.0,48.0,1438.0,48.0,429.0,33.0,96311.0,126.0,6949.0,91.0,2607.0,78.0,48326.0,157.0,18099.0,141.0,1839.0,78.0,509942.0,300.0,57637.0,220.0,25094.0,181.0,223943.0,317.0,100410.0,277.0,17520.0,165.0,2094896.0,595.0,363012.0,446.0,170807.0,371.0,1237209.0,648.0
83,500,5,inf,615.0,16.0,216.0,19.0,4994.0,48.0,1156.0,47.0,202.0,32.0,96221.0,126.0,4403.0,89.0,2678.0,78.0,39136.0,155.0,21720.0,142.0,1827.0,78.0,511688.0,300.0,53995.0,218.0,26145.0,181.0,224774.0,316.0,95657.0,276.0,12433.0,163.0,2057115.0,593.0,345381.0,443.0,171213.0,372.0,1185871.0,645.0
84,500,10,1,624.0,16.0,249.0,19.0,5054.0,48.0,1599.0,48.0,233.0,32.0,96388.0,126.0,6484.0,91.0,2950.0,78.0,39625.0,155.0,21736.0,142.0,1532.0,77.0,499811.0,299.0,50884.0,218.0,22322.0,181.0,246148.0,319.0,102043.0,276.0,12746.0,164.0,2090655.0,595.0,353498.0,445.0,167378.0,371.0,1172587.0,645.0
85,500,10,2,615.0,16.0,247.0,19.0,4975.0,48.0,1445.0,48.0,323.0,32.0,96439.0,126.0,8420.0,92.0,3599.0,79.0,42573.0,155.0,30059.0,145.0,1742.0,78.0,523441.0,301.0,45617.0,216.0,27154.0,182.0,230809.0,317.0,94619.0,276.0,14543.0,164.0,2093637.0,595.0,309476.0,440.0,145156.0,368.0,1290111.0,651.0
86,500,10,3,620.0,16.0,196.0,19.0,4984.0,48.0,1756.0,48.0,390.0,32.0,96523.0,126.0,8395.0,92.0,2498.0,78.0,37617.0,154.0,21994.0,143.0,1539.0,77.0,510803.0,300.0,46047.0,216.0,19452.0,179.0,233372.0,318.0,92525.0,276.0,15097.0,164.0,2120493.0,596.0,387499.0,448.0,166888.0,371.0,1220037.0,647.0
87,500,10,4,628.0,16.0,238.0,19.0,4938.0,48.0,1762.0,48.0,368.0,32.0,96551.0,126.0,6566.0,91.0,2863.0,79.0,42506.0,155.0,20366.0,142.0,1874.0,77.0,514331.0,300.0,51704.0,218.0,27366.0,181.0,222315.0,317.0,103159.0,278.0,14675.0,166.0,2049197.0,593.0,385765.0,447.0,152950.0,370.0,1136722.0,643.0
88,500,10,5,618.0,16.0,280.0,19.0,4914.0,48.0,1056.0,47.0,541.0,33.0,96783.0,126.0,6362.0,90.0,3135.0,79.0,51826.0,157.0,23180.0,143.0,1639.0,77.0,524433.0,301.0,63251.0,221.0,23797.0,180.0,253854.0,319.0,91701.0,277.0,12812.0,163.0,2095354.0,595.0,348567.0,444.0,150879.0,367.0,1210979.0,646.0
89,500,10,inf,620.0,16.0,279.0,19.0,4881.0,48.0,1597.0,48.0,369.0,32.0,96357.0,126.0,7057.0,91.0,2413.0,78.0,42077.0,155.0,23070.0,143.0,1594.0,77.0,513228.0,300.0,60955.0,219.0,25117.0,180.0,246347.0,319.0,98292.0,278.0,12668.0,164.0,2117239.0,596.0,349061.0,444.0,169665.0,372.0,1254189.0,649.0
90,500,15,1,627.0,16.0,311.0,19.0,4999.0,48.0,1507.0,48.0,536.0,33.0,96245.0,126.0,7835.0,92.0,3125.0,79.0,44584.0,156.0,21952.0,142.0,2201.0,78.0,513807.0,300.0,55994.0,219.0,19878.0,179.0,228933.0,317.0,86568.0,274.0,13448.0,164.0,2088035.0,595.0,358762.0,445.0,160098.0,370.0,1144266.0,642.0
91,500,15,2,618.0,16.0,288.0,19.0,4992.0,48.0,1787.0,48.0,630.0,33.0,96637.0,126.0,7774.0,91.0,3376.0,79.0,44218.0,155.0,26640.0,144.0,2195.0,78.0,535414.0,302.0,56099.0,219.0,22248.0,180.0,244912.0,319.0,95157.0,277.0,13314.0,164.0,2016116.0,592.0,363005.0,444.0,162371.0,369.0,1272627.0,650.0
92,500,15,3,659.0,16.0,235.0,19.0,5164.0,48.0,1807.0,48.0,504.0,33.0,96536.0,126.0,8012.0,92.0,3495.0,79.0,40712.0,154.0,21672.0,142.0,2262.0,78.0,523508.0,301.0,61972.0,220.0,19237.0,179.0,232585.0,317.0,93210.0,276.0,12315.0,163.0,2123997.0,596.0,337594.0,444.0,166500.0,369.0,1228294.0,647.0
93,500,15,4,624.0,16.0,288.0,19.0,5047.0,48.0,1640.0,48.0,334.0,32.0,96913.0,126.0,6633.0,91.0,3361.0,79.0,39798.0,154.0,22738.0,143.0,2197.0,78.0,524541.0,301.0,58644.0,219.0,25084.0,180.0,242332.0,318.0,102701.0,279.0,16796.0,166.0,2127232.0,597.0,342091.0,443.0,191431.0,373.0,1228756.0,646.0
94,500,15,5,625.0,16.0,229.0,19.0,5176.0,48.0,1666.0,48.0,346.0,32.0,96558.0,126.0,5599.0,90.0,2532.0,78.0,49465.0,157.0,21156.0,141.0,2581.0,78.0,535091.0,302.0,55638.0,219.0,22411.0,179.0,239417.0,318.0,101664.0,277.0,13277.0,164.0,2084761.0,595.0,331826.0,443.0,160498.0,370.0,1285335.0,650.0
95,500,15,inf,633.0,16.0,239.0,19.0,5072.0,48.0,1659.0,48.0,611.0,33.0,96455.0,126.0,8828.0,92.0,3189.0,79.0,41901.0,154.0,25585.0,144.0,2487.0,78.0,525553.0,301.0,48959.0,217.0,22623.0,180.0,223733.0,317.0,94728.0,276.0,12437.0,163.0,2119230.0,596.0,330513.0,444.0,174262.0,371.0,1202117.0,644.0
96,750,1,1,615.0,16.0,170.0,19.0,4854.0,48.0,1358.0,48.0,145.0,32.0,96696.0,126.0,5566.0,90.0,2195.0,78.0,39676.0,154.0,21884.0,142.0,1234.0,77.0,511113.0,300.0,52661.0,218.0,29339.0,182.0,239802.0,318.0,94870.0,276.0,14781.0,165.0,2045135.0,593.0,372246.0,446.0,144935.0,369.0,1253852.0,650.0
97,750,1,2,615.0,16.0,192.0,19.0,4854.0,48.0,923.0,47.0,188.0,32.0,96279.0,126.0,6652.0,91.0,2153.0,78.0,39032.0,154.0,19759.0,142.0,2101.0,78.0,520732.0,301.0,52161.0,218.0,23442.0,180.0,252120.0,320.0,104896.0,278.0,15176.0,165.0,2025409.0,592.0,344897.0,444.0,176759.0,372.0,1156972.0,644.0
98,750,1,3,615.0,16.0,194.0,19.0,4871.0,48.0,1322.0,48.0,221.0,32.0,96450.0,126.0,6536.0,91.0,3013.0,79.0,44048.0,156.0,19903.0,142.0,1326.0,77.0,512516.0,300.0,48418.0,217.0,33080.0,183.0,239704.0,317.0,89938.0,275.0,16443.0,165.0,2103983.0,596.0,372370.0,446.0,167759.0,372.0,1132433.0,643.0
99,750,1,4,615.0,16.0,186.0,19.0,5045.0,48.0,1431.0,48.0,293.0,32.0,96347.0,126.0,5743.0,90.0,2805.0,79.0,37341.0,154.0,20063.0,142.0,1115.0,77.0,511596.0,300.0,49766.0,218.0,28466.0,182.0,218271.0,316.0,101304.0,278.0,16459.0,165.0,2159858.0,598.0,350104.0,444.0,170178.0,371.0,1285709.0,649.0
